"time"	"truncation"
1	0.389131004260608
2	0.266669931819009
3	0.333112153463853
4	0.202213642212538
5	0.0220216441642993
6	0
7	0.155734481881104
8	0.0110766016104878
9	0.0566719967118444
10	0.0369168817468982
11	0.0510770630679919
12	0.173048089647202
13	0.0443003062756405
14	0.0869657350058097
15	0.0836147754613577
16	0.0959832723262025
17	0.00911770492572954
18	0.054212935965909
19	0.0519586041091704
20	0.174494533576927
21	0.0581253880587468
22	0.0773590098619054
23	0.116549626730285
24	0
25	0.107404267395436
26	0.00818982104308597
27	0.167149879010827
28	0.0959176438000009
29	0
30	0.0456192602514902
31	0.0674420198742596
32	0.198234656212468
33	0.108331248925734
34	0
35	0.019482235487016
36	0.0391637738016273
37	0.0609644479348664
38	0
39	0.203602557164544
40	0.063904562102553
41	0.0184073247334801
42	0.0218836213187648
43	0
44	0.013935736202576
45	0.0200371598749773
46	0.0349018301682797
47	0.000636558652687244
48	0.0297227436774699
49	0.0491910934821418
50	0
51	0.0103311765936288
52	0.188975591783328
53	0.00630059285273761
54	0
55	0.139416037063797
56	0
57	0.0895959594714306
58	0.0481226527180094
59	0
60	0.0436635940764932
61	0.128659098733168
62	0.0235590875791659
63	0.0551854303183408
64	0
65	0.518557292143841
66	0.50866761431807
67	0.00890862237894741
68	0.00634753109633629
69	0.172645424708225
70	0.00362943749349386
71	0.0457808782496489
72	0
73	0.158806474878921
74	0.041997246612839
75	0.00602804238442811
76	0
77	0
78	0
79	0.0436355982100586
80	0
81	0
82	0.0737354435893283
83	0.0381934176930864
84	0.0421044354733497
85	0.0138994393423893
86	0.0457952545273555
87	0.0197460032958952
88	0.0475371417966251
89	0.208862138695298
90	0.0174636573125904
91	0.0388287261264996
92	0.0464697912457583
93	0
94	0.0781292021805166
95	0.0044776283459501
96	0.00866097099161398
97	0.116833764011328
98	0.00377935053256845
99	0.201636800415469
100	0.00918565944525587
101	0.0627663375774095
102	0.0549985148210198
103	0.0031010540077104
104	0
105	0.00505713422693508
106	0.0134482412854736
107	0.0410722968886535
108	0.047707756902988
109	0.017657694396635
110	0.00716777492854329
111	0
112	0.0241217826319665
113	0
114	0.00866778472528894
115	0.0230880340636382
116	0.00883128983251842
117	0
118	0
119	0.00404743385337323
120	0
121	0.0568240302504938
122	0
123	0
124	0.0666565399218397
125	0.0393004918009474
126	0
127	0.0732016613805497
128	0.0353323722709442
129	0.0338772442954
130	0
131	0.0795582455796033
132	0
133	0.0346266730735535
134	0
135	0
136	0
137	0.0856560302982945
138	0.0316010672163461
139	0
140	0.0419957803787619
141	0.0104305534791856
142	0.0551061923806289
143	0
144	0.133634230774521
145	0.0763789773047142
146	0
147	0
148	0
149	0.0142059471862054
150	0
151	0.0579602719035108
152	0.0383007001835369
153	0
154	0
155	0.0194061869911296
156	0.211708493836016
157	0.103527943313993
158	0
159	0.00155326481357358
160	0.0938787385722424
161	0.00844675412626618
162	0.0516106930537328
163	0.03496498411708
164	0.0842692616141915
165	0.0259456677353558
166	0.0383016924912225
167	0.158446167939338
168	0.0261166534727142
169	0.0657272524003269
170	0.0756592310012687
171	0
172	0.0289202985248109
173	0.108649206716154
174	0
175	0.0863654071352425
176	0
177	0
178	0
179	0.0712940447490488
180	0
181	0.0126945558882023
182	0
183	0.0516899360483466
184	0
185	0
186	0
187	0.0769741643302207
188	0
189	0.024022002597541
190	0
191	0.115803603935717
192	0.0287452519461033
193	0
194	0
195	0
196	0.0359362576793937
197	0
198	0.0246890353326214
199	0.0510671825663129
200	0.229715379727249
201	0
202	0.0760854216983325
203	0
204	0
205	0.20215702550091
206	0
207	0.235199938854696
208	0
209	0
210	0.0297493751693454
211	0
212	0.24223783232449
213	0
214	0
215	0
216	0
217	0
218	0
219	0.0215299478240029
220	0
221	0.0559348822502046
222	0
223	0
224	0.0123086757835119
225	0
226	0.0598544647221703
227	0.0179215642891156
228	0.0572320658964145
229	0
230	0
231	0
232	0.00593675903024597
233	0.122442819429147
234	0
235	0
236	0.0277842497273695
237	0.0204149754649203
238	0
239	0.0477313129931071
240	0
241	0
242	0.0463755994191774
243	0
244	0.124389526494396
245	0
246	0.234834360424183
247	0.159458441961425
248	0
249	0.0219560859732327
250	0.172964762440978
251	0.0766826750514888
252	0.239245668986486
