"time"	"initiation"
1	0.161791709994626
2	0.485944599307323
3	0.200656522546716
4	0.144675468620636
5	0.146283727647112
6	0.0051550199608079
7	0.0668244303951913
8	0.0320923902059844
9	0.0594775249014853
10	0.0344353935266256
11	0.0312549723024806
12	0.0891501278731934
13	0.143359985028632
14	0.130227371242784
15	0.138460481277037
16	0
17	0.154109837010281
18	0.0399219292040522
19	0.0851904357261235
20	0.0671147443869382
21	0.0130350593891681
22	0.123819664176176
23	0.0537027518354343
24	0.0986883828948682
25	0.00483052473080001
26	0.130483091258989
27	0.0430061259499689
28	0.0240126327251202
29	0.10333396272793
30	0
31	0.00342181693458307
32	0.191182307943263
33	0.037856888667403
34	0.0426330453264051
35	0.0801577303499672
36	0.029857288878175
37	0.0172086059830809
38	0.0488971526694539
39	0
40	0.0246218532516093
41	0.016251444918498
42	0.0669412402817657
43	0.00549007431844172
44	0
45	0
46	0.0238848790112345
47	0.0263652766210945
48	0
49	0.147302134716517
50	0.0824458796683698
51	0
52	0.0154615685306829
53	0.0337005322461472
54	0.0178910021717039
55	0.0333598454293485
56	0.061269763098185
57	0.0594410717238658
58	0.149299279440577
59	0.0385249775839572
60	0
61	0.00828455849288823
62	0.0713095795069666
63	0.0156290194793405
64	0.312149639800824
65	0.261480449227111
66	0
67	0.0424501111286612
68	0.0199143254971611
69	0.0142159548662543
70	0.0182368015182193
71	0.0121010091819083
72	0.0386709758038787
73	0.00364763084649029
74	0.0849165260586409
75	0
76	0
77	0
78	0
79	0.00468698775645483
80	0.0337950910792445
81	0.000229268704311549
82	0
83	0.0578615612454596
84	0.0548341896149135
85	0.0198848744223549
86	0.0517360086872264
87	0.0394708511082436
88	0.0027551206766031
89	0.134877839176042
90	0.0517653960650633
91	0
92	0.0443019152914438
93	0.0292697173141508
94	0.00162097253554536
95	0.151829474790484
96	0.0251546617786447
97	0.0275960935092736
98	0.0301018227930354
99	0.0172481052500131
100	0.0729855426596871
101	0
102	0.0230569140456016
103	0.113748319394502
104	0.0208956351673749
105	0.0418237747814618
106	0.00687413417975549
107	0.0117180554001723
108	0
109	0.0569887475532375
110	0.0277404217957044
111	0.0525173300006451
112	0.224623189326158
113	0
114	0.015931508619048
115	0.146264348662345
116	0.0150025280520604
117	0
118	0.01675165087378
119	0
120	0.00646691016990246
121	0.0903035139300629
122	0
123	0.0132833759680684
124	0.24171815581487
125	0
126	0.105321224155593
127	0
128	0.0275283785292978
129	0.0557775930286434
130	0.0907788376692097
131	0.0175766912654842
132	0.0425234648506413
133	0
134	0.0590732038804759
135	0
136	0
137	0
138	0.0619214796511788
139	0.0993241311258389
140	0
141	0.0586457828351987
142	0
143	0.0286441802668973
144	0.0298503985588638
145	0
146	0.0432920744038612
147	0
148	0
149	0
150	0.0571818497749413
151	0
152	0.048163365900265
153	0.00115606919303356
154	0
155	0.022859614255216
156	0
157	0.0469535738628629
158	0.0552078310364799
159	0.00673938421538225
160	0.0196906543235529
161	0.0355377895643171
162	0.0104665093445353
163	0.156206346058745
164	0.0573894645398652
165	0.00232541844477613
166	0.267499743122223
167	0.073144287029272
168	0.204319055047759
169	0.0592764041486199
170	0.265903128629473
171	0.077769779551088
172	0.00646244430915271
173	0.0916101495702769
174	0.171856781750379
175	0
176	0.0497272585347778
177	0
178	0
179	0
180	0.0290045828184599
181	0
182	0.0414401192559496
183	0
184	0.111508925489814
185	0.00228644638141402
186	0
187	0
188	0.0497146405710003
189	0
190	0.0384046126944871
191	0
192	0.0337341843383895
193	0
194	0
195	0
196	0
197	0.0641964663843765
198	0
199	0.554970411693243
200	0.0406007496401804
201	0.154688430720629
202	0
203	0.029268294100881
204	0
205	0
206	0
207	0
208	0.0382284704412298
209	0
210	0.0101500093755793
211	0
212	0
213	0.0317625374669366
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0.0728119696033588
223	0.0147007585609559
224	0
225	0
226	0.0638218126256388
227	0
228	0.00453059365892243
229	0.103344166362164
230	0.0319429753661369
231	0
232	0
233	0
234	0.101716041288597
235	0.00997570963456664
236	0.0919435091363882
237	0
238	0.275235067118519
239	0
240	0.0924240924565209
241	0.0238481032869603
242	0
243	0.0308120605599971
244	0
245	0.022030910722664
246	0.0216962306111894
247	0.122930959488027
248	0.0142758305978574
249	0.0319051030654831
250	0.144136017831415
251	0.954634817755998
252	0.0151291495550981
